indicator,type,topic,description,response,respondent_group,year,sample_size,result,format
8,Council Plan Indicator,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-100),Male,2018,513,72.9,Average
8,Council Plan Indicator,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-100),Female,2018,643,73.7,Average
8,Council Plan Indicator,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-100),65+ years,2018,247,77.0,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-10),City of Melbourne,2018,1244,7.4,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-10),Melbourne 3000,2018,285,7.3,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-10),18-24 years,2018,290,7.3,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-10),45-54 years,2018,131,7.6,Average
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,East Melbourne 3002,2018,80,92.9,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,North Melbourne 3051 / West Melbourne 3003,2018,182,91.6,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,Southbank/ South Wharf 3006,2018,123,96.3,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,South Yarra 3141 / Melbourne (St Kilda Road) 3004,2018,129,85.4,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,25-34 years,2018,262,93.8,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,55-64 years,2018,146,92.7,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",City of Melbourne,2018,1232,43.3,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",East Melbourne 3002,2018,82,46.7,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Melbourne 3000,2018,279,40.2,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",South Yarra 3141 / Melbourne (St Kilda Road) 3004,2018,127,27.9,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Female,2018,681,46.5,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",25-34 years,2018,258,37.5,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",City of Melbourne,2018,1232,30.8,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Kensington/ Flemingon 3031,2018,142,27.7,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Melbourne 3000,2018,279,26.9,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2018,182,33.6,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",South Yarra 3141 / Melbourne (St Kilda Road) 3004,2018,127,15.7,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Male,2018,541,26.9,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",18-24 years,2018,285,34.6,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",25-34 years,2018,258,28.5,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",35-44 years,2018,136,28.5,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",55-64 years,2018,144,30.4,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",City of Melbourne,2018,1247,23.1,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",Carlton 3053,2018,126,24.4,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",East Melbourne 3002,2018,82,25.2,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",Kensington/ Flemingon 3031,2018,142,18.2,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",North Melbourne 3051 / West Melbourne 3003,2018,184,26.0,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",South Yarra 3141 / Melbourne (St Kilda Road) 3004,2018,130,22.4,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",25-34 years,2018,262,23.5,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",35-44 years,2018,138,15.4,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",Melbourne 3000,2018,285,20.0,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",South Yarra 3141 / Melbourne (St Kilda Road) 3004,2018,130,17.2,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",Male,2018,549,20.0,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",35-44 years,2018,138,12.8,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",55-64 years,2018,146,16.2,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",City of Melbourne,2018,1247,86.3,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",Melbourne 3000,2018,285,89.1,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",Female,2018,687,88.2,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",City of Melbourne,2018,1247,68.0,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",Carlton 3053,2018,126,69.0,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",Docklands 3008,2018,103,56.1,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",Kensington/ Flemingon 3031,2018,142,58.1,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",Melbourne 3000,2018,285,66.8,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2018,184,73.5,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",South Yarra 3141 / Melbourne (St Kilda Road) 3004,2018,130,54.5,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",Female,2018,687,69.7,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",18-24 years,2018,290,71.0,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",35-44 years,2018,138,64.8,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,City of Melbourne,2018,1194,93.8,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Melbourne 3000,2018,271,96.5,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,South Yarra 3141 / Melbourne (St Kilda Road) 3004,2018,125,86.9,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Southbank/ South Wharf 3006,2018,104,58.8,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",18-24 years,2018,223,67.2,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",25-34 years,2018,211,52.0,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",45-54 years,2018,115,69.1,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",55-64 years,2018,137,62.4,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",65+ years,2018,276,59.9,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Carlton 3053,2018,126,7.4,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,East Melbourne 3002,2018,82,1.4,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Male,2018,549,3.0,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Female,2018,687,3.9,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,25-34 years,2018,262,2.7,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,65+ years,2018,280,4.2,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,18-24 years,2018,286,96.5,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,35-44 years,2018,135,88.6,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,65+ years,2018,276,87.2,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Kensington/ Flemingon 3031,2018,142,38.7,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Southbank/ South Wharf 3006,2018,122,42.0,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Male,2018,541,40.1,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Docklands 3008,2018,100,15.2,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",East Melbourne 3002,2018,82,23.2,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Southbank/ South Wharf 3006,2018,122,33.0,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Female,2018,681,34.7,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",45-54 years,2018,129,32.9,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",65+ years,2018,280,27.8,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",Male,2018,549,23.1,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",Female,2018,687,22.7,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",18-24 years,2018,290,28.1,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",Docklands 3008,2018,103,13.5,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",Female,2018,687,19.3,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",18-24 years,2018,290,23.9,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",East Melbourne 3002,2018,82,89.1,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",Southbank/ South Wharf 3006,2018,123,84.5,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",Male,2018,549,84.4,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",55-64 years,2018,146,82.2,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",East Melbourne 3002,2018,82,74.6,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",Parkville 3052,2018,72,86.1,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",Southbank/ South Wharf 3006,2018,123,71.0,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",Male,2018,549,66.1,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",45-54 years,2018,131,65.8,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",55-64 years,2018,146,63.6,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Carlton 3053,2018,119,97.7,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Docklands 3008,2018,98,94.5,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Kensington/ Flemingon 3031,2018,136,93.7,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,North Melbourne 3051 / West Melbourne 3003,2018,178,93.0,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Parkville 3052,2018,70,89.2,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Female,2018,661,96.0,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,45-54 years,2018,128,91.4,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,55-64 years,2018,143,94.2,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Female,2018,596,63.0,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Kensington/ Flemingon 3031,2018,142,1.1,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Melbourne 3000,2018,285,3.3,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,North Melbourne 3051 / West Melbourne 3003,2018,184,2.3,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Southbank/ South Wharf 3006,2018,123,4.2,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,18-24 years,2018,290,2.1,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,35-44 years,2018,138,5.5,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,45-54 years,2018,131,8.3,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,55-64 years,2018,146,3.6,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,45-54 years,2018,129,92.1,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Carlton 3053,2018,126,61.3,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Docklands 3008,2018,100,28.7,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2018,182,44.9,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Parkville 3052,2018,72,50.3,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",18-24 years,2018,285,47.7,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",35-44 years,2018,136,42.0,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",65+ years,2018,280,45.7,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Carlton 3053,2018,126,47.4,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Parkville 3052,2018,72,39.2,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",Docklands 3008,2018,103,18.3,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",Melbourne 3000,2018,285,22.2,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",Parkville 3052,2018,72,35.5,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",Southbank/ South Wharf 3006,2018,123,21.2,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",45-54 years,2018,131,17.8,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",55-64 years,2018,146,19.8,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",65+ years,2018,280,22.8,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",City of Melbourne,2018,1247,20.0,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",Carlton 3053,2018,126,20.8,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",East Melbourne 3002,2018,82,22.3,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",Kensington/ Flemingon 3031,2018,142,15.4,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",North Melbourne 3051 / West Melbourne 3003,2018,184,21.0,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",Parkville 3052,2018,72,33.5,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",Southbank/ South Wharf 3006,2018,123,18.9,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",25-34 years,2018,262,21.1,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",45-54 years,2018,131,14.4,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",65+ years,2018,280,19.8,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",Carlton 3053,2018,126,89.5,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",Docklands 3008,2018,103,75.5,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",Kensington/ Flemingon 3031,2018,142,80.0,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2018,184,85.6,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",Parkville 3052,2018,72,96.1,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",South Yarra 3141 / Melbourne (St Kilda Road) 3004,2018,130,82.3,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",18-24 years,2018,290,92.6,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",25-34 years,2018,262,88.1,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",35-44 years,2018,138,80.5,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",45-54 years,2018,131,83.5,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",65+ years,2018,280,67.3,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",25-34 years,2018,262,71.2,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",65+ years,2018,280,50.6,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,East Melbourne 3002,2018,80,93.9,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Southbank/ South Wharf 3006,2018,117,88.6,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Male,2018,523,91.4,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,18-24 years,2018,271,94.4,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,25-34 years,2018,249,96.0,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,35-44 years,2018,131,92.3,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,65+ years,2018,272,85.0,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",City of Melbourne,2018,1090,58.9,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Carlton 3053,2018,104,59.3,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Docklands 3008,2018,90,44.8,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",East Melbourne 3002,2018,78,63.8,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Kensington/ Flemingon 3031,2018,134,69.6,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Melbourne 3000,2018,235,54.8,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2018,163,68.0,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Parkville 3052,2018,62,56.6,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",South Yarra 3141 / Melbourne (St Kilda Road) 3004,2018,120,58.0,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Male,2018,487,55.1,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",35-44 years,2018,128,50.1,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,City of Melbourne,2018,1247,3.5,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Docklands 3008,2018,103,4.2,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Parkville 3052,2018,72,1.0,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,South Yarra 3141 / Melbourne (St Kilda Road) 3004,2018,130,2.1,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",City of Melbourne,2018,1180,52.3,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",Carlton 3053,2018,117,53.8,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",North Melbourne 3051 / West Melbourne 3003,2018,175,46.7,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",Parkville 3052,2018,68,46.5,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",Female,2018,646,50.8,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",25-34 years,2018,249,47.1,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",35-44 years,2018,130,51.5,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",45-54 years,2018,130,64.9,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",Docklands 3008,2018,103,69.1,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",Kensington/ Flemingon 3031,2018,142,77.4,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",Parkville 3052,2018,72,84.6,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",Male,2018,549,73.3,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",Female,2018,687,73.5,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",65+ years,2018,280,48.7,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",Carlton 3053,2018,126,74.6,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",Parkville 3052,2018,72,69.2,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",South Yarra 3141 / Melbourne (St Kilda Road) 3004,2018,130,58.4,Per cent
