Geography,Year,Category,Industry Space Use,Value
South Yarra,2028,Jobs by industry,Food and beverage services,237
South Yarra,2029,Jobs by industry,Food and beverage services,238
South Yarra,2035,Jobs by industry,Food and beverage services,243
South Yarra,2036,Jobs by industry,Food and beverage services,243
South Yarra,2037,Jobs by industry,Food and beverage services,244
South Yarra,2038,Jobs by industry,Food and beverage services,244
South Yarra,2041,Jobs by industry,Food and beverage services,245
South Yarra,2021,Jobs by industry,Health care and social assistance,26
South Yarra,2022,Jobs by industry,Health care and social assistance,61
South Yarra,2026,Jobs by industry,Health care and social assistance,358
South Yarra,2027,Jobs by industry,Health care and social assistance,391
South Yarra,2029,Jobs by industry,Health care and social assistance,410
South Yarra,2030,Jobs by industry,Health care and social assistance,412
South Yarra,2031,Jobs by industry,Health care and social assistance,413
South Yarra,2036,Jobs by industry,Health care and social assistance,411
South Yarra,2041,Jobs by industry,Health care and social assistance,413
South Yarra,2022,Jobs by industry,Information media and telecommunications,5
South Yarra,2023,Jobs by industry,Information media and telecommunications,5
South Yarra,2027,Jobs by industry,Information media and telecommunications,6
South Yarra,2030,Jobs by industry,Information media and telecommunications,6
South Yarra,2031,Jobs by industry,Information media and telecommunications,6
South Yarra,2033,Jobs by industry,Information media and telecommunications,6
South Yarra,2034,Jobs by industry,Information media and telecommunications,6
South Yarra,2035,Jobs by industry,Information media and telecommunications,6
South Yarra,2036,Jobs by industry,Information media and telecommunications,6
South Yarra,2038,Jobs by industry,Information media and telecommunications,6
South Yarra,2039,Jobs by industry,Information media and telecommunications,6
South Yarra,2041,Jobs by industry,Information media and telecommunications,6
South Yarra,2021,Jobs by industry,Manufacturing,10
South Yarra,2023,Jobs by industry,Manufacturing,10
South Yarra,2024,Jobs by industry,Manufacturing,12
South Yarra,2025,Jobs by industry,Manufacturing,14
South Yarra,2035,Jobs by industry,Manufacturing,13
South Yarra,2037,Jobs by industry,Manufacturing,13
South Yarra,2021,Jobs by industry,Other services,25
South Yarra,2022,Jobs by industry,Other services,25
South Yarra,2033,Jobs by industry,Other services,26
South Yarra,2034,Jobs by industry,Other services,25
South Yarra,2035,Jobs by industry,Other services,24
South Yarra,2039,Jobs by industry,Other services,23
South Yarra,2021,Jobs by industry,Public administration and safety,30
South Yarra,2033,Jobs by industry,Public administration and safety,42
South Yarra,2036,Jobs by industry,Public administration and safety,98
South Yarra,2040,Jobs by industry,Public administration and safety,94
South Yarra,2041,Jobs by industry,Public administration and safety,93
South Yarra,2021,Jobs by industry,Real estate services,0
South Yarra,2026,Jobs by industry,Real estate services,0
South Yarra,2036,Jobs by industry,Real estate services,0
South Yarra,2041,Jobs by industry,Real estate services,0
South Yarra,2021,Jobs by industry,Rental and hiring services,0
South Yarra,2022,Jobs by industry,Rental and hiring services,0
South Yarra,2025,Jobs by industry,Rental and hiring services,0
South Yarra,2028,Jobs by industry,Rental and hiring services,0
South Yarra,2029,Jobs by industry,Rental and hiring services,0
South Yarra,2030,Jobs by industry,Rental and hiring services,0
South Yarra,2035,Jobs by industry,Rental and hiring services,0
South Yarra,2036,Jobs by industry,Rental and hiring services,0
South Yarra,2041,Jobs by industry,Rental and hiring services,0
South Yarra,2022,Jobs by industry,Retail trade,7
South Yarra,2023,Jobs by industry,Retail trade,8
South Yarra,2025,Jobs by industry,Retail trade,12
South Yarra,2027,Jobs by industry,Retail trade,14
South Yarra,2028,Jobs by industry,Retail trade,14
South Yarra,2032,Jobs by industry,Retail trade,14
South Yarra,2036,Jobs by industry,Retail trade,15
South Yarra,2037,Jobs by industry,Retail trade,15
South Yarra,2039,Jobs by industry,Retail trade,16
South Yarra,2024,Jobs by industry,"Transport, postal and storage",0
South Yarra,2025,Jobs by industry,"Transport, postal and storage",1
South Yarra,2027,Jobs by industry,"Transport, postal and storage",1
South Yarra,2028,Jobs by industry,"Transport, postal and storage",1
South Yarra,2030,Jobs by industry,"Transport, postal and storage",1
South Yarra,2036,Jobs by industry,"Transport, postal and storage",1
South Yarra,2037,Jobs by industry,"Transport, postal and storage",1
South Yarra,2040,Jobs by industry,"Transport, postal and storage",1
South Yarra,2041,Jobs by industry,"Transport, postal and storage",1
South Yarra,2029,Jobs by industry,Wholesale trade,0
South Yarra,2036,Jobs by industry,Wholesale trade,0
South Yarra,2038,Jobs by industry,Wholesale trade,0
South Yarra,2040,Jobs by industry,Wholesale trade,0
Southbank,2021,Jobs by industry,Accommodation,2274
Southbank,2024,Jobs by industry,Accommodation,2235
Southbank,2026,Jobs by industry,Accommodation,2403
Southbank,2027,Jobs by industry,Accommodation,2455
Southbank,2028,Jobs by industry,Accommodation,2508
Southbank,2034,Jobs by industry,Accommodation,2739
Southbank,2039,Jobs by industry,Accommodation,2839
Southbank,2040,Jobs by industry,Accommodation,2859
Southbank,2023,Jobs by industry,Admin and support services,1498
Southbank,2024,Jobs by industry,Admin and support services,1539
Southbank,2027,Jobs by industry,Admin and support services,1650
Southbank,2028,Jobs by industry,Admin and support services,1673
Southbank,2029,Jobs by industry,Admin and support services,1695
Southbank,2030,Jobs by industry,Admin and support services,1717
Southbank,2031,Jobs by industry,Admin and support services,1721
Southbank,2033,Jobs by industry,Admin and support services,1746
Southbank,2035,Jobs by industry,Admin and support services,1760
Southbank,2037,Jobs by industry,Admin and support services,1797
Southbank,2038,Jobs by industry,Admin and support services,1811
Southbank,2022,Jobs by industry,Agriculture and mining,720
Southbank,2023,Jobs by industry,Agriculture and mining,707
Southbank,2027,Jobs by industry,Agriculture and mining,684
Southbank,2028,Jobs by industry,Agriculture and mining,701
Southbank,2029,Jobs by industry,Agriculture and mining,718
Southbank,2031,Jobs by industry,Agriculture and mining,753
Southbank,2033,Jobs by industry,Agriculture and mining,775
Southbank,2034,Jobs by industry,Agriculture and mining,785
Southbank,2037,Jobs by industry,Agriculture and mining,815
Southbank,2022,Jobs by industry,Arts and recreation services,8721
Southbank,2033,Jobs by industry,Arts and recreation services,9997
Southbank,2037,Jobs by industry,Arts and recreation services,10742
Southbank,2041,Jobs by industry,Arts and recreation services,11509
Southbank,2021,Jobs by industry,Business services,7349
Southbank,2023,Jobs by industry,Business services,7742
Southbank,2025,Jobs by industry,Business services,7943
Southbank,2026,Jobs by industry,Business services,8155
Southbank,2036,Jobs by industry,Business services,9673
Southbank,2021,Jobs by industry,Construction,1025
Southbank,2040,Jobs by industry,Construction,1250
Southbank,2041,Jobs by industry,Construction,1246
Southbank,2026,Jobs by industry,Education and training,1338
Southbank,2028,Jobs by industry,Education and training,1480
Southbank,2029,Jobs by industry,Education and training,1564
Southbank,2034,Jobs by industry,Education and training,1875
Southbank,2035,Jobs by industry,Education and training,1910
Southbank,2039,Jobs by industry,Education and training,2074
Southbank,2040,Jobs by industry,Education and training,2107
Southbank,2025,Jobs by industry,"Electricity, gas, water and waste services",990
Southbank,2027,Jobs by industry,"Electricity, gas, water and waste services",980
Southbank,2028,Jobs by industry,"Electricity, gas, water and waste services",990
Southbank,2031,Jobs by industry,"Electricity, gas, water and waste services",1011
Southbank,2032,Jobs by industry,"Electricity, gas, water and waste services",1020
Southbank,2035,Jobs by industry,"Electricity, gas, water and waste services",1046
Southbank,2040,Jobs by industry,"Electricity, gas, water and waste services",1074
Southbank,2023,Jobs by industry,Finance and insurance,1572
Southbank,2024,Jobs by industry,Finance and insurance,1609
Southbank,2031,Jobs by industry,Finance and insurance,1729
Southbank,2033,Jobs by industry,Finance and insurance,1757
Southbank,2035,Jobs by industry,Finance and insurance,1781
Southbank,2038,Jobs by industry,Finance and insurance,1822
Southbank,2040,Jobs by industry,Finance and insurance,1848
Southbank,2021,Jobs by industry,Food and beverage services,4027
Southbank,2027,Jobs by industry,Food and beverage services,5527
Southbank,2029,Jobs by industry,Food and beverage services,5908
Southbank,2030,Jobs by industry,Food and beverage services,6105
Southbank,2035,Jobs by industry,Food and beverage services,6573
Southbank,2038,Jobs by industry,Food and beverage services,6782
Southbank,2040,Jobs by industry,Food and beverage services,6924
Southbank,2021,Jobs by industry,Health care and social assistance,631
Southbank,2025,Jobs by industry,Health care and social assistance,803
Southbank,2028,Jobs by industry,Health care and social assistance,897
Southbank,2029,Jobs by industry,Health care and social assistance,931
Southbank,2030,Jobs by industry,Health care and social assistance,965
Southbank,2031,Jobs by industry,Health care and social assistance,982
Southbank,2036,Jobs by industry,Health care and social assistance,980
Southbank,2037,Jobs by industry,Health care and social assistance,988
Southbank,2039,Jobs by industry,Health care and social assistance,1005
Southbank,2025,Jobs by industry,Information media and telecommunications,2526
Southbank,2029,Jobs by industry,Information media and telecommunications,2593
Southbank,2031,Jobs by industry,Information media and telecommunications,2596
Southbank,2032,Jobs by industry,Information media and telecommunications,2642
Southbank,2034,Jobs by industry,Information media and telecommunications,2728
Southbank,2036,Jobs by industry,Information media and telecommunications,2799
Southbank,2037,Jobs by industry,Information media and telecommunications,2824
Southbank,2040,Jobs by industry,Information media and telecommunications,2898
Southbank,2023,Jobs by industry,Manufacturing,4265
Southbank,2024,Jobs by industry,Manufacturing,4306
Southbank,2026,Jobs by industry,Manufacturing,4287
Southbank,2031,Jobs by industry,Manufacturing,4337
Southbank,2032,Jobs by industry,Manufacturing,4367
Southbank,2037,Jobs by industry,Manufacturing,4522
Southbank,2040,Jobs by industry,Manufacturing,4565
Southbank,2021,Jobs by industry,Other services,591
Southbank,2026,Jobs by industry,Other services,640
Southbank,2029,Jobs by industry,Other services,680
Southbank,2030,Jobs by industry,Other services,694
Southbank,2034,Jobs by industry,Other services,704
Southbank,2038,Jobs by industry,Other services,724
Southbank,2041,Jobs by industry,Other services,739
Southbank,2022,Jobs by industry,Public administration and safety,3082
Southbank,2023,Jobs by industry,Public administration and safety,3109
Southbank,2025,Jobs by industry,Public administration and safety,3150
Southbank,2030,Jobs by industry,Public administration and safety,3431
Southbank,2031,Jobs by industry,Public administration and safety,3497
Southbank,2033,Jobs by industry,Public administration and safety,3536
Southbank,2034,Jobs by industry,Public administration and safety,3555
Southbank,2036,Jobs by industry,Public administration and safety,3589
Southbank,2037,Jobs by industry,Public administration and safety,3608
Southbank,2040,Jobs by industry,Public administration and safety,3665
Southbank,2022,Jobs by industry,Real estate services,463
Southbank,2023,Jobs by industry,Real estate services,479
Southbank,2026,Jobs by industry,Real estate services,525
Southbank,2027,Jobs by industry,Real estate services,533
Southbank,2029,Jobs by industry,Real estate services,550
Southbank,2035,Jobs by industry,Real estate services,589
Southbank,2041,Jobs by industry,Real estate services,618
Southbank,2023,Jobs by industry,Rental and hiring services,14
Southbank,2026,Jobs by industry,Rental and hiring services,16
Southbank,2029,Jobs by industry,Rental and hiring services,17
Southbank,2033,Jobs by industry,Rental and hiring services,17
Southbank,2037,Jobs by industry,Rental and hiring services,16
Southbank,2022,Jobs by industry,Retail trade,2061
Southbank,2023,Jobs by industry,Retail trade,2096
Southbank,2025,Jobs by industry,Retail trade,2287
Southbank,2027,Jobs by industry,Retail trade,2400
Southbank,2030,Jobs by industry,Retail trade,2526
Southbank,2038,Jobs by industry,Retail trade,3096
Southbank,2039,Jobs by industry,Retail trade,3155
Southbank,2041,Jobs by industry,Retail trade,3266
Southbank,2027,Jobs by industry,"Transport, postal and storage",973
Southbank,2028,Jobs by industry,"Transport, postal and storage",984
Southbank,2030,Jobs by industry,"Transport, postal and storage",1004
Southbank,2035,Jobs by industry,"Transport, postal and storage",1061
Southbank,2039,Jobs by industry,"Transport, postal and storage",1078
Southbank,2021,Jobs by industry,Wholesale trade,1046
Southbank,2023,Jobs by industry,Wholesale trade,1046
Southbank,2025,Jobs by industry,Wholesale trade,1039
Southbank,2026,Jobs by industry,Wholesale trade,1030
Southbank,2029,Jobs by industry,Wholesale trade,1039
Southbank,2031,Jobs by industry,Wholesale trade,1090
Southbank,2035,Jobs by industry,Wholesale trade,1120
West Melbourne (Industrial),2021,Jobs by industry,Accommodation,0
West Melbourne (Industrial),2022,Jobs by industry,Accommodation,1
West Melbourne (Industrial),2026,Jobs by industry,Accommodation,28
West Melbourne (Industrial),2028,Jobs by industry,Accommodation,43
West Melbourne (Industrial),2030,Jobs by industry,Accommodation,58
West Melbourne (Industrial),2034,Jobs by industry,Accommodation,77
West Melbourne (Industrial),2035,Jobs by industry,Accommodation,80
West Melbourne (Industrial),2036,Jobs by industry,Accommodation,84
West Melbourne (Industrial),2040,Jobs by industry,Accommodation,100
West Melbourne (Industrial),2041,Jobs by industry,Accommodation,105
West Melbourne (Industrial),2022,Jobs by industry,Admin and support services,9
West Melbourne (Industrial),2023,Jobs by industry,Admin and support services,10
West Melbourne (Industrial),2027,Jobs by industry,Admin and support services,12
West Melbourne (Industrial),2032,Jobs by industry,Admin and support services,15
West Melbourne (Industrial),2036,Jobs by industry,Admin and support services,18
West Melbourne (Industrial),2039,Jobs by industry,Admin and support services,20
West Melbourne (Industrial),2023,Jobs by industry,Agriculture and mining,0
West Melbourne (Industrial),2026,Jobs by industry,Agriculture and mining,0
West Melbourne (Industrial),2027,Jobs by industry,Agriculture and mining,0
West Melbourne (Industrial),2030,Jobs by industry,Agriculture and mining,0
West Melbourne (Industrial),2035,Jobs by industry,Agriculture and mining,0
West Melbourne (Industrial),2038,Jobs by industry,Agriculture and mining,0
West Melbourne (Industrial),2039,Jobs by industry,Agriculture and mining,0
West Melbourne (Industrial),2041,Jobs by industry,Agriculture and mining,0
West Melbourne (Industrial),2022,Jobs by industry,Arts and recreation services,46
West Melbourne (Industrial),2023,Jobs by industry,Arts and recreation services,48
West Melbourne (Industrial),2025,Jobs by industry,Arts and recreation services,51
West Melbourne (Industrial),2031,Jobs by industry,Arts and recreation services,103
West Melbourne (Industrial),2033,Jobs by industry,Arts and recreation services,122
West Melbourne (Industrial),2035,Jobs by industry,Arts and recreation services,141
West Melbourne (Industrial),2036,Jobs by industry,Arts and recreation services,154
West Melbourne (Industrial),2037,Jobs by industry,Arts and recreation services,164
West Melbourne (Industrial),2038,Jobs by industry,Arts and recreation services,175
West Melbourne (Industrial),2039,Jobs by industry,Arts and recreation services,188
West Melbourne (Industrial),2040,Jobs by industry,Arts and recreation services,201
West Melbourne (Industrial),2025,Jobs by industry,Business services,164
West Melbourne (Industrial),2026,Jobs by industry,Business services,173
West Melbourne (Industrial),2028,Jobs by industry,Business services,192
West Melbourne (Industrial),2031,Jobs by industry,Business services,218
West Melbourne (Industrial),2039,Jobs by industry,Business services,320
West Melbourne (Industrial),2041,Jobs by industry,Business services,346
West Melbourne (Industrial),2021,Jobs by industry,Construction,50
West Melbourne (Industrial),2023,Jobs by industry,Construction,48
West Melbourne (Industrial),2027,Jobs by industry,Construction,52
West Melbourne (Industrial),2030,Jobs by industry,Construction,53
West Melbourne (Industrial),2032,Jobs by industry,Construction,53
West Melbourne (Industrial),2033,Jobs by industry,Construction,54
West Melbourne (Industrial),2035,Jobs by industry,Construction,56
West Melbourne (Industrial),2039,Jobs by industry,Construction,61
West Melbourne (Industrial),2041,Jobs by industry,Construction,65
West Melbourne (Industrial),2021,Jobs by industry,Education and training,0
West Melbourne (Industrial),2024,Jobs by industry,Education and training,7
West Melbourne (Industrial),2033,Jobs by industry,Education and training,163
West Melbourne (Industrial),2034,Jobs by industry,Education and training,179
West Melbourne (Industrial),2041,Jobs by industry,Education and training,286
West Melbourne (Industrial),2021,Jobs by industry,"Electricity, gas, water and waste services",63
West Melbourne (Industrial),2026,Jobs by industry,"Electricity, gas, water and waste services",56
West Melbourne (Industrial),2027,Jobs by industry,"Electricity, gas, water and waste services",57
West Melbourne (Industrial),2029,Jobs by industry,"Electricity, gas, water and waste services",58
West Melbourne (Industrial),2035,Jobs by industry,"Electricity, gas, water and waste services",61
West Melbourne (Industrial),2038,Jobs by industry,"Electricity, gas, water and waste services",62
West Melbourne (Industrial),2021,Jobs by industry,Finance and insurance,0
West Melbourne (Industrial),2022,Jobs by industry,Finance and insurance,0
West Melbourne (Industrial),2027,Jobs by industry,Finance and insurance,2
West Melbourne (Industrial),2028,Jobs by industry,Finance and insurance,2
West Melbourne (Industrial),2030,Jobs by industry,Finance and insurance,2
West Melbourne (Industrial),2032,Jobs by industry,Finance and insurance,2
West Melbourne (Industrial),2034,Jobs by industry,Finance and insurance,3
West Melbourne (Industrial),2035,Jobs by industry,Finance and insurance,3
West Melbourne (Industrial),2036,Jobs by industry,Finance and insurance,4
West Melbourne (Industrial),2040,Jobs by industry,Finance and insurance,5
West Melbourne (Industrial),2028,Jobs by industry,Food and beverage services,118
West Melbourne (Industrial),2032,Jobs by industry,Food and beverage services,193
West Melbourne (Industrial),2033,Jobs by industry,Food and beverage services,204
West Melbourne (Industrial),2038,Jobs by industry,Food and beverage services,267
West Melbourne (Industrial),2039,Jobs by industry,Food and beverage services,280
West Melbourne (Industrial),2021,Jobs by industry,Health care and social assistance,0
West Melbourne (Industrial),2024,Jobs by industry,Health care and social assistance,67
West Melbourne (Industrial),2026,Jobs by industry,Health care and social assistance,127
West Melbourne (Industrial),2029,Jobs by industry,Health care and social assistance,231
West Melbourne (Industrial),2032,Jobs by industry,Health care and social assistance,340
West Melbourne (Industrial),2033,Jobs by industry,Health care and social assistance,367
West Melbourne (Industrial),2036,Jobs by industry,Health care and social assistance,456
West Melbourne (Industrial),2037,Jobs by industry,Health care and social assistance,485
West Melbourne (Industrial),2038,Jobs by industry,Health care and social assistance,514
West Melbourne (Industrial),2040,Jobs by industry,Health care and social assistance,582
West Melbourne (Industrial),2041,Jobs by industry,Health care and social assistance,622
West Melbourne (Industrial),2023,Jobs by industry,Information media and telecommunications,0
West Melbourne (Industrial),2025,Jobs by industry,Information media and telecommunications,1
West Melbourne (Industrial),2032,Jobs by industry,Information media and telecommunications,4
West Melbourne (Industrial),2035,Jobs by industry,Information media and telecommunications,5
West Melbourne (Industrial),2037,Jobs by industry,Information media and telecommunications,6
West Melbourne (Industrial),2038,Jobs by industry,Information media and telecommunications,6
West Melbourne (Industrial),2040,Jobs by industry,Information media and telecommunications,7
West Melbourne (Industrial),2041,Jobs by industry,Information media and telecommunications,8
West Melbourne (Industrial),2022,Jobs by industry,Manufacturing,159
West Melbourne (Industrial),2023,Jobs by industry,Manufacturing,146
West Melbourne (Industrial),2031,Jobs by industry,Manufacturing,123
West Melbourne (Industrial),2034,Jobs by industry,Manufacturing,123
West Melbourne (Industrial),2040,Jobs by industry,Manufacturing,132
West Melbourne (Industrial),2041,Jobs by industry,Manufacturing,134
West Melbourne (Industrial),2026,Jobs by industry,Other services,55
West Melbourne (Industrial),2028,Jobs by industry,Other services,81
West Melbourne (Industrial),2031,Jobs by industry,Other services,119
West Melbourne (Industrial),2036,Jobs by industry,Other services,164
West Melbourne (Industrial),2038,Jobs by industry,Other services,181
West Melbourne (Industrial),2040,Jobs by industry,Other services,200
West Melbourne (Industrial),2022,Jobs by industry,Public administration and safety,18
West Melbourne (Industrial),2023,Jobs by industry,Public administration and safety,19
West Melbourne (Industrial),2024,Jobs by industry,Public administration and safety,18
West Melbourne (Industrial),2030,Jobs by industry,Public administration and safety,27
West Melbourne (Industrial),2035,Jobs by industry,Public administration and safety,56
West Melbourne (Industrial),2022,Jobs by industry,Real estate services,3
West Melbourne (Industrial),2025,Jobs by industry,Real estate services,3
West Melbourne (Industrial),2028,Jobs by industry,Real estate services,7
West Melbourne (Industrial),2031,Jobs by industry,Real estate services,11
West Melbourne (Industrial),2022,Jobs by industry,Rental and hiring services,2
West Melbourne (Industrial),2023,Jobs by industry,Rental and hiring services,3
West Melbourne (Industrial),2028,Jobs by industry,Rental and hiring services,3
West Melbourne (Industrial),2031,Jobs by industry,Rental and hiring services,4
West Melbourne (Industrial),2032,Jobs by industry,Rental and hiring services,4
West Melbourne (Industrial),2033,Jobs by industry,Rental and hiring services,4
West Melbourne (Industrial),2035,Jobs by industry,Rental and hiring services,4
West Melbourne (Industrial),2040,Jobs by industry,Rental and hiring services,4
West Melbourne (Industrial),2024,Jobs by industry,Retail trade,28
West Melbourne (Industrial),2026,Jobs by industry,Retail trade,43
West Melbourne (Industrial),2027,Jobs by industry,Retail trade,46
West Melbourne (Industrial),2038,Jobs by industry,Retail trade,115
West Melbourne (Industrial),2041,Jobs by industry,Retail trade,142
West Melbourne (Industrial),2022,Jobs by industry,"Transport, postal and storage",2555
West Melbourne (Industrial),2024,Jobs by industry,"Transport, postal and storage",2675
West Melbourne (Industrial),2029,Jobs by industry,"Transport, postal and storage",2876
West Melbourne (Industrial),2031,Jobs by industry,"Transport, postal and storage",2917
West Melbourne (Industrial),2034,Jobs by industry,"Transport, postal and storage",2860
West Melbourne (Industrial),2035,Jobs by industry,"Transport, postal and storage",2842
West Melbourne (Industrial),2039,Jobs by industry,"Transport, postal and storage",2831
West Melbourne (Industrial),2040,Jobs by industry,"Transport, postal and storage",2836
West Melbourne (Industrial),2041,Jobs by industry,"Transport, postal and storage",2877
West Melbourne (Industrial),2023,Jobs by industry,Wholesale trade,658
West Melbourne (Industrial),2025,Jobs by industry,Wholesale trade,634
West Melbourne (Industrial),2028,Jobs by industry,Wholesale trade,665
West Melbourne (Industrial),2036,Jobs by industry,Wholesale trade,807
West Melbourne (Industrial),2037,Jobs by industry,Wholesale trade,822
West Melbourne (Industrial),2038,Jobs by industry,Wholesale trade,837
West Melbourne (Industrial),2039,Jobs by industry,Wholesale trade,853
West Melbourne (Residential),2021,Jobs by industry,Accommodation,22
West Melbourne (Residential),2023,Jobs by industry,Accommodation,20
West Melbourne (Residential),2028,Jobs by industry,Accommodation,32
West Melbourne (Residential),2034,Jobs by industry,Accommodation,55
West Melbourne (Residential),2038,Jobs by industry,Accommodation,63
West Melbourne (Residential),2041,Jobs by industry,Accommodation,64
West Melbourne (Residential),2028,Jobs by industry,Admin and support services,214
West Melbourne (Residential),2030,Jobs by industry,Admin and support services,220
West Melbourne (Residential),2035,Jobs by industry,Admin and support services,225
West Melbourne (Residential),2037,Jobs by industry,Admin and support services,231
West Melbourne (Residential),2023,Jobs by industry,Agriculture and mining,0
West Melbourne (Residential),2025,Jobs by industry,Agriculture and mining,0
West Melbourne (Residential),2032,Jobs by industry,Agriculture and mining,0
West Melbourne (Residential),2033,Jobs by industry,Agriculture and mining,0
West Melbourne (Residential),2034,Jobs by industry,Agriculture and mining,0
West Melbourne (Residential),2038,Jobs by industry,Agriculture and mining,0
West Melbourne (Residential),2022,Jobs by industry,Arts and recreation services,387
West Melbourne (Residential),2024,Jobs by industry,Arts and recreation services,386
West Melbourne (Residential),2030,Jobs by industry,Arts and recreation services,443
West Melbourne (Residential),2031,Jobs by industry,Arts and recreation services,461
West Melbourne (Residential),2032,Jobs by industry,Arts and recreation services,477
West Melbourne (Residential),2033,Jobs by industry,Arts and recreation services,492
West Melbourne (Residential),2037,Jobs by industry,Arts and recreation services,563
West Melbourne (Residential),2039,Jobs by industry,Arts and recreation services,585
West Melbourne (Residential),2040,Jobs by industry,Arts and recreation services,588
West Melbourne (Residential),2028,Jobs by industry,Business services,1294
West Melbourne (Residential),2030,Jobs by industry,Business services,1345
West Melbourne (Residential),2038,Jobs by industry,Business services,1547
West Melbourne (Residential),2040,Jobs by industry,Business services,1593
West Melbourne (Residential),2021,Jobs by industry,Construction,169
West Melbourne (Residential),2025,Jobs by industry,Construction,182
West Melbourne (Residential),2026,Jobs by industry,Construction,186
West Melbourne (Residential),2027,Jobs by industry,Construction,189
West Melbourne (Residential),2028,Jobs by industry,Construction,192
West Melbourne (Residential),2029,Jobs by industry,Construction,195
West Melbourne (Residential),2030,Jobs by industry,Construction,199
West Melbourne (Residential),2038,Jobs by industry,Construction,203
West Melbourne (Residential),2039,Jobs by industry,Construction,204
West Melbourne (Residential),2040,Jobs by industry,Construction,205
West Melbourne (Residential),2041,Jobs by industry,Construction,203
West Melbourne (Residential),2024,Jobs by industry,Education and training,384
West Melbourne (Residential),2026,Jobs by industry,Education and training,410
West Melbourne (Residential),2027,Jobs by industry,Education and training,435
West Melbourne (Residential),2030,Jobs by industry,Education and training,557
West Melbourne (Residential),2032,Jobs by industry,Education and training,645
West Melbourne (Residential),2034,Jobs by industry,Education and training,713
West Melbourne (Residential),2036,Jobs by industry,Education and training,784
West Melbourne (Residential),2038,Jobs by industry,Education and training,831
West Melbourne (Residential),2040,Jobs by industry,Education and training,836
West Melbourne (Residential),2024,Jobs by industry,"Electricity, gas, water and waste services",0
West Melbourne (Residential),2030,Jobs by industry,"Electricity, gas, water and waste services",0
West Melbourne (Residential),2041,Jobs by industry,"Electricity, gas, water and waste services",0
West Melbourne (Residential),2021,Jobs by industry,Finance and insurance,79
West Melbourne (Residential),2023,Jobs by industry,Finance and insurance,81
West Melbourne (Residential),2024,Jobs by industry,Finance and insurance,82
West Melbourne (Residential),2025,Jobs by industry,Finance and insurance,84
West Melbourne (Residential),2028,Jobs by industry,Finance and insurance,87
West Melbourne (Residential),2029,Jobs by industry,Finance and insurance,88
West Melbourne (Residential),2032,Jobs by industry,Finance and insurance,90
West Melbourne (Residential),2035,Jobs by industry,Finance and insurance,92
West Melbourne (Residential),2040,Jobs by industry,Finance and insurance,96
West Melbourne (Residential),2023,Jobs by industry,Food and beverage services,330
West Melbourne (Residential),2024,Jobs by industry,Food and beverage services,358
West Melbourne (Residential),2029,Jobs by industry,Food and beverage services,486
West Melbourne (Residential),2030,Jobs by industry,Food and beverage services,508
West Melbourne (Residential),2033,Jobs by industry,Food and beverage services,538
West Melbourne (Residential),2040,Jobs by industry,Food and beverage services,567
West Melbourne (Residential),2021,Jobs by industry,Health care and social assistance,805
West Melbourne (Residential),2024,Jobs by industry,Health care and social assistance,973
West Melbourne (Residential),2025,Jobs by industry,Health care and social assistance,1050
West Melbourne (Residential),2026,Jobs by industry,Health care and social assistance,1095
West Melbourne (Residential),2027,Jobs by industry,Health care and social assistance,1138
West Melbourne (Residential),2038,Jobs by industry,Health care and social assistance,1358
West Melbourne (Residential),2023,Jobs by industry,Information media and telecommunications,137
West Melbourne (Residential),2027,Jobs by industry,Information media and telecommunications,137
West Melbourne (Residential),2028,Jobs by industry,Information media and telecommunications,139
West Melbourne (Residential),2030,Jobs by industry,Information media and telecommunications,142
West Melbourne (Residential),2033,Jobs by industry,Information media and telecommunications,147
West Melbourne (Residential),2038,Jobs by industry,Information media and telecommunications,159
West Melbourne (Residential),2026,Jobs by industry,Manufacturing,99
West Melbourne (Residential),2027,Jobs by industry,Manufacturing,99
West Melbourne (Residential),2033,Jobs by industry,Manufacturing,99
West Melbourne (Residential),2034,Jobs by industry,Manufacturing,99
West Melbourne (Residential),2038,Jobs by industry,Manufacturing,100
West Melbourne (Residential),2041,Jobs by industry,Manufacturing,98
West Melbourne (Residential),2022,Jobs by industry,Other services,348
West Melbourne (Residential),2023,Jobs by industry,Other services,356
West Melbourne (Residential),2024,Jobs by industry,Other services,360
West Melbourne (Residential),2025,Jobs by industry,Other services,367
West Melbourne (Residential),2026,Jobs by industry,Other services,375
West Melbourne (Residential),2037,Jobs by industry,Other services,439
West Melbourne (Residential),2022,Jobs by industry,Public administration and safety,461
West Melbourne (Residential),2023,Jobs by industry,Public administration and safety,465
West Melbourne (Residential),2027,Jobs by industry,Public administration and safety,482
West Melbourne (Residential),2032,Jobs by industry,Public administration and safety,527
West Melbourne (Residential),2034,Jobs by industry,Public administration and safety,532
West Melbourne (Residential),2037,Jobs by industry,Public administration and safety,538
West Melbourne (Residential),2041,Jobs by industry,Public administration and safety,538
West Melbourne (Residential),2024,Jobs by industry,Real estate services,38
West Melbourne (Residential),2025,Jobs by industry,Real estate services,39
West Melbourne (Residential),2026,Jobs by industry,Real estate services,40
West Melbourne (Residential),2027,Jobs by industry,Real estate services,41
West Melbourne (Residential),2030,Jobs by industry,Real estate services,42
West Melbourne (Residential),2034,Jobs by industry,Real estate services,44
West Melbourne (Residential),2035,Jobs by industry,Real estate services,45
West Melbourne (Residential),2037,Jobs by industry,Real estate services,45
