ServiceName,ServiceType,Address,Suburb,State,Postcode,Phone,full_address,Latitude,Longitude
Glorykids Child Care Centre,Centre-Based Care,4 Rebound Court,NARRE WARREN,VIC,3805,03 8774 0605,"4 Rebound Court, NARRE WARREN, VIC, 3805, Australia",-38.0271974,145.3054008
St Oliver Plunkett OSHC - Extend,Centre-Based Care,Landells Road,PASCOE VALE,VIC,3044,1300366437,"Landells Road, PASCOE VALE, VIC, 3044, Australia",-37.7246202,144.9433548
Thomas Mitchell PS TheirCare,Centre-Based Care,67-77 Thomas Mitchell Dr,ENDEAVOUR HILLS,VIC,3802,1300072410,"67-77 Thomas Mitchell Dr, ENDEAVOUR HILLS, VIC, 3802, Australia",-37.9800096,145.273482
Leading Leaps Early Learning,Centre-Based Care,"70, Wootten Road",TARNEIT,VIC,3029,423041857,"70, Wootten Road, TARNEIT, VIC, 3029, Australia",-37.8547888,144.6608243
Maroondah Occasional Care,Centre-Based Care,7 Civic Square,CROYDON,VIC,3136,392984673,"7 Civic Square, CROYDON, VIC, 3136, Australia",-37.7998556,145.2806542
My Cambridge Early Learning,Centre-Based Care,45 Bakewell St,CRANBOURNE,VIC,3977,370235623,"45 Bakewell St, CRANBOURNE, VIC, 3977, Australia",-38.1111915,145.2896215
TeamKids - St Joseph's Primary - Werribee,Centre-Based Care,50 Treeve Pkwy,WERRIBEE,VIC,3030,1300035000,"50 Treeve Pkwy, WERRIBEE, VIC, 3030, Australia",-37.9030733,144.6095264
Davis Creek Primary School Kindergarten,Centre-Based Care,65 Wootten Rd,TARNEIT,VIC,3029,409388757,"65 Wootten Rd, TARNEIT, VIC, 3029, Australia",-37.8556653,144.6590568
Pascoe Vale Community Centre Kindergarten,Centre-Based Care,7 Prospect St,PASCOE VALE,VIC,3044,435312145,"7 Prospect St, PASCOE VALE, VIC, 3044, Australia",-37.7291659,144.936913
Werribee Kids,Centre-Based Care,2 Russell St,WERRIBEE,VIC,3030,387375990,"2 Russell St, WERRIBEE, VIC, 3030, Australia",-37.9082988,144.665066
St Gabriel's PS Reservoir TheirCare,Centre-Based Care,237 Spring St,RESERVOIR,VIC,3073,1300072410,"237 Spring St, RESERVOIR, VIC, 3073, Australia",-37.7187871,145.0050875
Al Siraat College OSHC- Extend,Centre-Based Care,45 Harvest Home Rd,EPPING,VIC,3076,370682703,"45 Harvest Home Rd, EPPING, VIC, 3076, Australia",-37.6250091,145.0367192
Dandenong North OSHClub,Centre-Based Care,"Dandenong North Primary School, 117-125 Cleeland St",DANDENONG,VIC,3175,439660575,"Dandenong North Primary School, 117-125 Cleeland St, DANDENONG, VIC, 3175, Australia",-37.9763327,145.2146349
Bialik College OSHC- Extend,Centre-Based Care,429 Auburn road,HAWTHORN,VIC,3122,,"429 Auburn road, HAWTHORN, VIC, 3122, Australia",-37.8244842,145.0446667
Inspira Kids Early Learning Centre Laverton,Centre-Based Care,1-19 Thomas St,LAVERTON,VIC,3028,383549211,"1-19 Thomas St, LAVERTON, VIC, 3028, Australia",-37.8598621,144.7719688
Busy Bees at Williams Landing,Centre-Based Care,141-143 Sayers Rd,WILLIAMS LANDING,VIC,3027,393609978,"141-143 Sayers Rd, WILLIAMS LANDING, VIC, 3027, Australia",-37.8542846,144.7495622
CHILDREN'S CORNER LEARNING CENTRE,Centre-Based Care,150 Mt Dandenong Rd,CROYDON,VIC,3136,382018217,"150 Mt Dandenong Rd, CROYDON, VIC, 3136, Australia",-37.8002784,145.2768651
Glen Education Chelsea Kindergarten,Centre-Based Care,36 Glenola Road,CHELSEA,VIC,3196,397722788,"36 Glenola Road, CHELSEA, VIC, 3196, Australia",-38.0559505,145.122785
Paisley Park Early Learning Centre Chadstone,Centre-Based Care,1350 Dandenong Rd,HUGHESDALE,VIC,3166,395631474,"1350 Dandenong Rd, HUGHESDALE, VIC, 3166, Australia",-37.8911316,145.0828801
Little Lane Early Learning Centre - Hawthorn,Centre-Based Care,555 Glenferrie Rd,HAWTHORN,VIC,3122,398188410,"555 Glenferrie Rd, HAWTHORN, VIC, 3122, Australia",-37.8278902,145.0338987
Kids on Mullum Child Care Centre,Centre-Based Care,13-15 Mullum Mullum Rd,RINGWOOD,VIC,3134,398707020,"13-15 Mullum Mullum Rd, RINGWOOD, VIC, 3134, Australia",-37.8058688,145.2320528
Christ Church Grammar School â€“ Early Learning Centre,Centre-Based Care,621 Punt Rd,SOUTH YARRA,VIC,3141,,"621 Punt Rd, SOUTH YARRA, VIC, 3141, Australia",-37.8301861,144.9878262
Almost French Early Learning,Centre-Based Care,20-26 Brighton St,RICHMOND,VIC,3121,391114949,"20-26 Brighton St, RICHMOND, VIC, 3121, Australia",-37.8274675,144.9990436
Explorers Early Learning - Dandenong,Centre-Based Care,159 Princes Hwy,DANDENONG,VIC,3175,392483000,"159 Princes Hwy, DANDENONG, VIC, 3175, Australia",-37.9756202,145.2034358
Nido Early School Essendon,Centre-Based Care,37 Raleigh St,ESSENDON,VIC,3040,390391913,"37 Raleigh St, ESSENDON, VIC, 3040, Australia",-37.7535538,144.9219022
true maple bilingual early learning centre,Centre-Based Care,2 Grace St,SPRINGVALE,VIC,3171,375043524,"2 Grace St, SPRINGVALE, VIC, 3171, Australia",-37.939223,145.1646261
Wimba Primary School Kindergarten,Centre-Based Care,11 Tuition Dr,TARNEIT,VIC,3029,399672664,"11 Tuition Dr, TARNEIT, VIC, 3029, Australia",-37.8233864,144.6692667
MindChamps Early Learning Melton,Centre-Based Care,63-65 Barries Rd,MELTON,VIC,3337,399679560,"63-65 Barries Rd, MELTON, VIC, 3337, Australia",-37.6891801,144.5809949
Kelly Club OSHC Wimba Primary School,Centre-Based Care,11 Tuition Drive,TARNEIT,VIC,3029,393842204,"11 Tuition Drive, TARNEIT, VIC, 3029, Australia",-37.8233864,144.6692667
Minnows Cheltenham,Centre-Based Care,15-17 Centre Dandenong Rd,CHELTENHAM,VIC,3192,395851555,"15-17 Centre Dandenong Rd, CHELTENHAM, VIC, 3192, Australia",-37.965797,145.0605194
Northland Kinder Haven,Centre-Based Care,59-65 Wood St,PRESTON,VIC,3072,394711511,"59-65 Wood St, PRESTON, VIC, 3072, Australia",-37.7356345,145.0245744
Wonderland Childcare & Kinder,Centre-Based Care,6 High Street,DONCASTER,VIC,3108,398578123,"6 High Street, DONCASTER, VIC, 3108, Australia",-37.7873841,145.1052402
Greenland Early Learning Centre,Centre-Based Care,75-77 Watsons Rd,GLEN WAVERLEY,VIC,3150,03 9561 0200,"75-77 Watsons Rd, GLEN WAVERLEY, VIC, 3150, Australia",-37.8983064,145.1684915
Clayton Community Centre Kindergarten,Centre-Based Care,9-15 Cooke St,CLAYTON,VIC,3168,343290427,"9-15 Cooke St, CLAYTON, VIC, 3168, Australia",-37.9281786,145.1174018
Glen Education Serrell St Kindergarten,Centre-Based Care,54 Serrell Street,MALVERN EAST,VIC,3145,370421199,"54 Serrell Street, MALVERN EAST, VIC, 3145, Australia",-37.8802466,145.0625653
Carrum Downs Early Learning Centre,Centre-Based Care,59 Hall Road,CARRUM DOWNS,VIC,3201,397821500,"59 Hall Road, CARRUM DOWNS, VIC, 3201, Australia",-38.100511,145.1823435
Milestones Early Learning Ringwood,Centre-Based Care,290-292 Maroondah Highway,RINGWOOD,VIC,3134,398700125,"290-292 Maroondah Highway, RINGWOOD, VIC, 3134, Australia",-37.8093229,145.240462
Aussie Kindies Early Learning Cranbourne,Centre-Based Care,1-3 Ferndown Dr,CRANBOURNE,VIC,3977,359966255,"1-3 Ferndown Dr, CRANBOURNE, VIC, 3977, Australia",-38.1228483,145.25771
Waverley Kidz Children's Centre,Centre-Based Care,604 Waverley Road,GLEN WAVERLEY,VIC,3150,398034813,"604 Waverley Road, GLEN WAVERLEY, VIC, 3150, Australia",-37.8876504,145.1515278
APPLE BLOSSOMS EARLY LEARNING - NARRE WARREN,Centre-Based Care,10 Verdun Drive,NARRE WARREN,VIC,3805,387949244,"10 Verdun Drive, NARRE WARREN, VIC, 3805, Australia",-38.024579,145.3122975
Tulip Street Early Learning Centre,Centre-Based Care,99A Tulip Street,CHELTENHAM,VIC,3192,395855311,"99A Tulip Street, CHELTENHAM, VIC, 3192, Australia",-37.9636561,145.0339993
Early Beginners,Centre-Based Care,901-903 Heatherton Rd,SPRINGVALE,VIC,3171,395466440,"901-903 Heatherton Rd, SPRINGVALE, VIC, 3171, Australia",-37.9609022,145.1400505
Pelican Childcare Craigieburn,Centre-Based Care,19-25 Princes Cct,CRAIGIEBURN,VIC,3064,03 9333 8472,"19-25 Princes Cct, CRAIGIEBURN, VIC, 3064, Australia",-37.5838606,144.9352894
Boulevard Early Learning Centre,Centre-Based Care,3-5 The Boulevard,GLEN WAVERLEY,VIC,3150,03 9803 4361,"3-5 The Boulevard, GLEN WAVERLEY, VIC, 3150, Australia",-37.8685272,145.1656643
Busy Bees at Carrum Downs,Centre-Based Care,50 Brunnings Road,CARRUM DOWNS,VIC,3201,397830812,"50 Brunnings Road, CARRUM DOWNS, VIC, 3201, Australia",-38.0952127,145.1937911
123KIDS,Centre-Based Care,107-113 Hallam Rd,HAMPTON PARK,VIC,3976,03 9799 9799,"107-113 Hallam Rd, HAMPTON PARK, VIC, 3976, Australia",-38.0377803,145.2665396
Creative Play Early Learning Centre,Centre-Based Care,1 Templestowe Road,BULLEEN,VIC,3105,398523277,"1 Templestowe Road, BULLEEN, VIC, 3105, Australia",-37.7601626,145.0837075
BiraBira Early Learning Centre,Centre-Based Care,335 Warrigal Rd,CHELTENHAM,VIC,3192,370183774,"335 Warrigal Rd, CHELTENHAM, VIC, 3192, Australia",-37.9575872,145.0755767
Aspire Early Education and Kindergarten Bendigo,Centre-Based Care,1a The Terrace,KENNINGTON,VIC,3550,1800978429,"1a The Terrace, KENNINGTON, VIC, 3550, Australia",-36.7771637,144.3036589
Amiga Montessori Tarneit,Centre-Based Care,42 Caraleena Dr,TARNEIT,VIC,3029,380013084,"42 Caraleena Dr, TARNEIT, VIC, 3029, Australia",-37.8543823,144.6640403
Nido Early School Werribee,Centre-Based Care,20 ROTH ST,WERRIBEE,VIC,3030,370199185,"20 ROTH ST, WERRIBEE, VIC, 3030, Australia",-37.8890319,144.7023956
Eden Academy Werribee,Centre-Based Care,77A KOOKABURRA AV,WERRIBEE,VIC,3030,370461047,"77A KOOKABURRA AV, WERRIBEE, VIC, 3030, Australia",-37.8852633,144.6809395
Inspire Early Learning Journey Forest hill,Centre-Based Care,351 SPRINGVALE RD,FOREST HILL,VIC,3131,398996999,"351 SPRINGVALE RD, FOREST HILL, VIC, 3131, Australia",-37.837095,145.1724542
Whiz Kidz Early Learning Centre Dandenong,Centre-Based Care,1536-1538 HEATHERTON RD,DANDENONG,VIC,3175,,"1536-1538 HEATHERTON RD, DANDENONG, VIC, 3175, Australia",-37.9713381,145.2246673
Genius Childcare - Reservoir,Centre-Based Care,192-194 Albert St,RESERVOIR,VIC,3073,,"192-194 Albert St, RESERVOIR, VIC, 3073, Australia",-37.7316001,145.0254605
Story House Early Learning Melton,Centre-Based Care,23 - 25 O'Neills Road,MELTON,VIC,3337,370461090,"23 - 25 O'Neills Road, MELTON, VIC, 3337, Australia",-37.68065,144.5776019
LEADING BEES MONTESSORI AND EARLY LEARNING,Centre-Based Care,"14, Aloha Gardens",TEMPLESTOWE,VIC,3106,450453457,"14, Aloha Gardens, TEMPLESTOWE, VIC, 3106, Australia",-37.7629179,145.1566122
Inspire Early Learning Journey Werribee Campus,Centre-Based Care,28 Riverbend Crescent,WERRIBEE,VIC,3030,398535555,"28 Riverbend Crescent, WERRIBEE, VIC, 3030, Australia",-37.886661,144.6442199
The Fern Hampton Park,Centre-Based Care,155 Hallam Rd,HAMPTON PARK,VIC,3976,370360555,"155 Hallam Rd, HAMPTON PARK, VIC, 3976, Australia",-38.04183,145.2657072
New Horizon FDC Pty Ltd,Family Day Care,7 Magdala St,WERRIBEE,VIC,3030,401234425,"7 Magdala St, WERRIBEE, VIC, 3030, Australia",-37.9142014,144.6442266
montessori early learning kids care pty ltd,Family Day Care,31 Crossway Ave,TARNEIT,VIC,3029,425909835,"31 Crossway Ave, TARNEIT, VIC, 3029, Australia",-37.8446291,144.6794046
Big Childcare - Lollypop Creek Primary School,Centre-Based Care,114 Shipwright Pde,WERRIBEE,VIC,3030,1300273162,"114 Shipwright Pde, WERRIBEE, VIC, 3030, Australia",-37.9103513,144.6123784
Big Childcare - Karwan PS OSHC,Centre-Based Care,455 Bethany Rd,TARNEIT,VIC,3029,1300273162,"455 Bethany Rd, TARNEIT, VIC, 3029, Australia",-37.8533077,144.6458653
Big Childcare - Mary Queen of Heaven CPS OSHC,Centre-Based Care,75 French Rd,GREENVALE,VIC,3059,1300273162,"75 French Rd, GREENVALE, VIC, 3059, Australia",-37.6298889,144.8858986
Nido Early School Glenroy,Centre-Based Care,4 Hartington St,GLENROY,VIC,3046,385928087,"4 Hartington St, GLENROY, VIC, 3046, Australia",-37.7037371,144.9177001
Team Holiday - Hampton,Centre-Based Care,"Hampton Primary School, 528 Hampton St",HAMPTON,VIC,3188,1300035000,"Hampton Primary School, 528 Hampton St, HAMPTON, VIC, 3188, Australia",-37.9334885,145.0041868
Villa Bambini,Centre-Based Care,16 Bulla Road,ESSENDON,VIC,3040,393744491,"16 Bulla Road, ESSENDON, VIC, 3040, Australia",-37.7417058,144.9089301
St Therese's School OSHClub,Centre-Based Care,31 Edward St,ESSENDON,VIC,3040,437037417,"31 Edward St, ESSENDON, VIC, 3040, Australia",-37.7538932,144.9130417
Nido Early School Prahran,Centre-Based Care,2 Donald St,PRAHRAN,VIC,3181,385928088,"2 Donald St, PRAHRAN, VIC, 3181, Australia",-37.8508043,144.9868145
Kelly Club OSHC Northern School Autism,Centre-Based Care,16-18 Gertz Ave,RESERVOIR,VIC,3073,,"16-18 Gertz Ave, RESERVOIR, VIC, 3073, Australia",-37.6998719,145.0303245
BLUEBELL EARLY LEARNING & KINDERGARTEN NARRE WARREN,Centre-Based Care,559-561 Princes Hwy,NARRE WARREN,VIC,3805,387250899,"559-561 Princes Hwy, NARRE WARREN, VIC, 3805, Australia",-38.0281125,145.3173711
Aspire Early Education and Kindergarten Tarneit North,Centre-Based Care,1 Madden Bvd,TARNEIT,VIC,3030,1800978429,"1 Madden Bvd, TARNEIT, VIC, 3030, Australia",-37.8234983,144.6793065
TeamKids - Mont Albert Primary,Centre-Based Care,Barloa Road,MONT ALBERT,VIC,3127,1300035000,"Barloa Road, MONT ALBERT, VIC, 3127, Australia",-37.8137178,145.102389
Altona PS TheirCare,Centre-Based Care,109 Blyth Street,ALTONA,VIC,3018,1300072410,"109 Blyth Street, ALTONA, VIC, 3018, Australia",-37.8673701,144.8224482
Coburg North PS TheirCare,Centre-Based Care,180 O'Hea Street,COBURG,VIC,3058,1300072410,"180 O'Hea Street, COBURG, VIC, 3058, Australia",-37.7356963,144.9519211
Thomas Chirnside Primary School Outside School Hours Care,Centre-Based Care,85 Walls Road,WERRIBEE,VIC,3030,397410200,"85 Walls Road, WERRIBEE, VIC, 3030, Australia",-37.9035338,144.6385481
Collingwood College TheirCare,Centre-Based Care,Islington St,COLLINGWOOD,VIC,3066,1300072410,"Islington St, COLLINGWOOD, VIC, 3066, Australia",-37.8082861,144.9906675
TeamKids - Richmond West Primary,Centre-Based Care,Lennox Street,RICHMOND,VIC,3121,1300035000,"Lennox Street, RICHMOND, VIC, 3121, Australia",-37.8166511,144.9948851
TeamKids - Preston South Primary,Centre-Based Care,56B Hotham Street,PRESTON,VIC,3072,1300035000,"56B Hotham Street, PRESTON, VIC, 3072, Australia",-37.7479265,145.0079724
Preston Primary School OSHC,Centre-Based Care,240 Tyler Street,PRESTON,VIC,3072,,"240 Tyler Street, PRESTON, VIC, 3072, Australia",-37.7299201,145.0108687
Epping Primary School-VillageOSHC,Centre-Based Care,805 High Street,EPPING,VIC,3076,401051248,"805 High Street, EPPING, VIC, 3076, Australia",-37.645193,145.0251322
Corpus Christi School OSHC Glenroy,Centre-Based Care,13-21 Widford St,GLENROY,VIC,3046,493947309,"13-21 Widford St, GLENROY, VIC, 3046, Australia",-37.7038277,144.922772
St Fidelis PS TheirCare,Centre-Based Care,52 Saunders Street,COBURG,VIC,3058,438978132,"52 Saunders Street, COBURG, VIC, 3058, Australia",-37.749954,144.9515224
Globe Talent Family Day Care Pty Ltd,Family Day Care,19 Catania Ave,POINT COOK,VIC,3030,393881386,"19 Catania Ave, POINT COOK, VIC, 3030, Australia",-37.8902201,144.7384257
Story House Early Learning Point Cook,Centre-Based Care,8 Parliament St,POINT COOK,VIC,3030,390980438,"8 Parliament St, POINT COOK, VIC, 3030, Australia",-37.9111758,144.758415
Wyndham Early Learning Family Day Care,Family Day Care,26 SALINGA DR,WERRIBEE,VIC,3030,421209290,"26 SALINGA DR, WERRIBEE, VIC, 3030, Australia",-37.9171225,144.6370971
iCare Family Day Care Pty Ltd,Family Day Care,8/96 Garden Road,CLAYTON,VIC,3168,417272757,"8/96 Garden Road, CLAYTON, VIC, 3168, Australia",-37.9252542,145.1455542
John Street Community Early Childhood Co-operative,Centre-Based Care,23 John Street,FITZROY,VIC,3065,03 9419 6659,"23 John Street, FITZROY, VIC, 3065, Australia",-37.8006029,144.9761007
East West Childcare,Centre-Based Care,138 George Street,FITZROY,VIC,3065,394191673,"138 George Street, FITZROY, VIC, 3065, Australia",-37.8046457,144.9810428
Acacia Fitzroy Creche,Centre-Based Care,187 Napier Street,FITZROY,VIC,3065,394191142,"187 Napier Street, FITZROY, VIC, 3065, Australia",-37.799078,144.9806538
Flinders Preschool,Centre-Based Care,62 Bass Street,FLINDERS,VIC,3929,359890622,"62 Bass Street, FLINDERS, VIC, 3929, Australia",-38.4746229,145.0146548
Robert Cochrane Kindergarten,Centre-Based Care,Minona Street,HAWTHORN,VIC,3122,398181063,"Minona Street, HAWTHORN, VIC, 3122, Australia",-37.8241187,145.042189
West Hawthorn Preschool,Centre-Based Care,39 Brook Street,HAWTHORN,VIC,3122,398185153,"39 Brook Street, HAWTHORN, VIC, 3122, Australia",-37.8160775,145.0219655
Camberwell Baptist Church Kindergarten,Centre-Based Care,1A Wills Street,HAWTHORN,VIC,3122,398826880,"1A Wills Street, HAWTHORN, VIC, 3122, Australia",-37.8317884,145.0550369
Hawthorn Early Years,Centre-Based Care,586 Glenferrie Road,HAWTHORN,VIC,3122,Oh yep when,"586 Glenferrie Road, HAWTHORN, VIC, 3122, Australia",-37.8238464,145.0444813
Ivanhoe Children's Community Co-op,Centre-Based Care,58 Livingstone Street,IVANHOE,VIC,3079,432167755,"58 Livingstone Street, IVANHOE, VIC, 3079, Australia",-37.7673805,145.0368647
Austin Child Care Centre,Centre-Based Care,Studley Road,HEIDELBERG,VIC,3084,394965552,"Studley Road, HEIDELBERG, VIC, 3084, Australia",-37.7559948,145.0618806
Story House Early Learning Epping,Centre-Based Care,329a Harvest Home Road,EPPING,VIC,3076,03 9409 1563,"329a Harvest Home Road, EPPING, VIC, 3076, Australia",-37.6208964,145.0057244
Guardian Childcare & Education Preston West,Centre-Based Care,391 Murray Road,PRESTON,VIC,3072,390690545,"391 Murray Road, PRESTON, VIC, 3072, Australia",-37.7371992,144.9941375
Lil' Angels Early Learning Centre,Centre-Based Care,13 NAVIGATION DR,MELTON,VIC,3337,388041393,"13 NAVIGATION DR, MELTON, VIC, 3337, Australia",-37.6903827,144.6104209
KingKids Early Learning Centre and Kindergarten Dandenong,Centre-Based Care,22-26 Hopkins Street,Dandenong,VIC,3175,,"22-26 Hopkins Street, Dandenong, VIC, 3175, Australia",-37.9748225,145.2134942
Wallaby Childcare Lollypop Creek,Centre-Based Care,91 CHARLWOOD PROM,WERRIBEE,VIC,3030,03 9969 2979,"91 CHARLWOOD PROM, WERRIBEE, VIC, 3030, Australia",-37.909409,144.6147752
TeamKids - Altona College,Centre-Based Care,103A GRIEVE PDE,ALTONA,VIC,3018,1300035000,"103A GRIEVE PDE, ALTONA, VIC, 3018, Australia",-37.861721,144.8172341
East Sunshine Kindergarten,Centre-Based Care,Lowe Crescent,SUNSHINE,VIC,3020,393114712,"Lowe Crescent, SUNSHINE, VIC, 3020, Australia",-37.787054,144.8445453
Sunshine Heights Kindergarten,Centre-Based Care,Glengala Road,SUNSHINE,VIC,3020,393114966,"Glengala Road, SUNSHINE, VIC, 3020, Australia",-37.7879173,144.8263655
South Sunshine Kindergarten,Centre-Based Care,31 Ardoyne Street,SUNSHINE,VIC,3020,393114348,"31 Ardoyne Street, SUNSHINE, VIC, 3020, Australia",-37.7987225,144.8250124
Killeen Street Child Care Centre,Centre-Based Care,23 Killeen Street,SUNSHINE,VIC,3020,03 9364 8541,"23 Killeen Street, SUNSHINE, VIC, 3020, Australia",-37.7972716,144.8192526
Ashwood Memorial Kindergarten,Centre-Based Care,17A Arthur Street,ASHWOOD,VIC,3147,343290422,"17A Arthur Street, ASHWOOD, VIC, 3147, Australia",-37.8600555,145.1071368
Appletree Hill Kindergarten,Centre-Based Care,37 Shepherd Road,GLEN WAVERLEY,VIC,3150,03 9560 2940,"37 Shepherd Road, GLEN WAVERLEY, VIC, 3150, Australia",-37.8836855,145.1828998
Brentwood Kindergarten,Centre-Based Care,60 View Mount Road,GLEN WAVERLEY,VIC,3150,395602735,"60 View Mount Road, GLEN WAVERLEY, VIC, 3150, Australia",-37.8974341,145.1751742
Highvale Kindergarten,Centre-Based Care,56 Campbell Street,GLEN WAVERLEY,VIC,3150,398031652,"56 Campbell Street, GLEN WAVERLEY, VIC, 3150, Australia",-37.8699256,145.1758307
Wayburne Kindergarten,Centre-Based Care,579 Waverley Road,GLEN WAVERLEY,VIC,3150,343290455,"579 Waverley Road, GLEN WAVERLEY, VIC, 3150, Australia",-37.8873326,145.1522841
Syndal Kindergarten,Centre-Based Care,2 Matthew Street,GLEN WAVERLEY,VIC,3150,398028035,"2 Matthew Street, GLEN WAVERLEY, VIC, 3150, Australia",-37.874126,145.1488469
Brandon Park Kindergarten,Centre-Based Care,7 Collegium Avenue,WHEELERS HILL,VIC,3150,343290425,"7 Collegium Avenue, WHEELERS HILL, VIC, 3150, Australia",-37.9047951,145.1647512
Waverley Meadows Preschool,Centre-Based Care,6 Farnham Avenue,WHEELERS HILL,VIC,3150,395602791,"6 Farnham Avenue, WHEELERS HILL, VIC, 3150, Australia",-37.9124051,145.174496
Legend Park Kindergarten,Centre-Based Care,56 King Arthur Drive,GLEN WAVERLEY,VIC,3150,343290440,"56 King Arthur Drive, GLEN WAVERLEY, VIC, 3150, Australia",-37.8684627,145.1879698
Columbia Park Pre-school,Centre-Based Care,26-28 Columbia Dr,WHEELERS HILL,VIC,3150,343290428,"26-28 Columbia Dr, WHEELERS HILL, VIC, 3150, Australia",-37.9153964,145.1845928
Jells Park Kindergarten Association Incorporated,Centre-Based Care,37 Petronella Avenue,WHEELERS HILL,VIC,3150,395608035,"37 Petronella Avenue, WHEELERS HILL, VIC, 3150, Australia",-37.903358,145.1939088
Columbia Park Early Learning Centre Inc,Centre-Based Care,28A Columbia Drive,WHEELERS HILL,VIC,3150,395608636,"28A Columbia Drive, WHEELERS HILL, VIC, 3150, Australia",-37.9172848,145.1841445
KindyTown Endeavour Hills Early Learning Centre,Centre-Based Care,136-138 Gleneagles Dr,ENDEAVOUR HILLS,VIC,3802,397000410,"136-138 Gleneagles Dr, ENDEAVOUR HILLS, VIC, 3802, Australia",-37.9694217,145.2796471
Lorne Street Kindergarten at Fawkner Primary School,Centre-Based Care,"Fawkner Primary School, 40 Lorne St",FAWKNER,VIC,3060,393595635,"Fawkner Primary School, 40 Lorne St, FAWKNER, VIC, 3060, Australia",-37.7152026,144.9739608
Mother Teresa Catholic Primary School OSHC - Extend,Centre-Based Care,5-15 Windrock Ave,CRAIGIEBURN,VIC,3064,1300366437,"5-15 Windrock Ave, CRAIGIEBURN, VIC, 3064, Australia",-37.5758407,144.9333206
Community Kids Haven Knoxfield Early Learning & Kinder,Centre-Based Care,1563 Ferntree Gully Rd,KNOXFIELD,VIC,3180,397532666,"1563 Ferntree Gully Rd, KNOXFIELD, VIC, 3180, Australia",-37.8951383,145.2487758
Wesley College (Glen Waverley) OSHC - Extend,Centre-Based Care,620 High Street Road,GLEN WAVERLEY,VIC,3150,1300366437,"620 High Street Road, GLEN WAVERLEY, VIC, 3150, Australia",-37.8722149,145.1485507
Murray Street Early Learning Centre,Centre-Based Care,1 Murray St,CLAYTON,VIC,3168,395626748,"1 Murray St, CLAYTON, VIC, 3168, Australia",-37.9180909,145.1218237
Greenvue Kindergarten,Centre-Based Care,6 Wootten Rd,TARNEIT,VIC,3029,03 9749 6262,"6 Wootten Rd, TARNEIT, VIC, 3029, Australia",-37.8598054,144.6599681
Happy Campers Family Day Care,Family Day Care,19 Palpera Tce,GREENSBOROUGH,VIC,3088,448904911,"19 Palpera Tce, GREENSBOROUGH, VIC, 3088, Australia",-37.68272,145.1052446
Bubup Womindjeka Family and Children's Centre,Centre-Based Care,85 Liardet St,PORT MELBOURNE,VIC,3207,396768400,"85 Liardet St, PORT MELBOURNE, VIC, 3207, Australia",-37.8401244,144.944257
Connie Benn Early Learning Centre,Centre-Based Care,160 Brunswick St,FITZROY,VIC,3065,394261515,"160 Brunswick St, FITZROY, VIC, 3065, Australia",-37.8026788,144.9780369
Only About Children Tarneit,Centre-Based Care,19-25 Turva Ave,TARNEIT,VIC,3029,387427400,"19-25 Turva Ave, TARNEIT, VIC, 3029, Australia",-37.8381009,144.6745116
PlayHouse Family Daycare,Family Day Care,34 London Cres,NARRE WARREN,VIC,3805,387949890,"34 London Cres, NARRE WARREN, VIC, 3805, Australia",-37.9967914,145.3100214
Youth Leadership Victoria- St. Mark's OSHC,Centre-Based Care,Argyle Street,FAWKNER,VIC,3060,387906511,"Argyle Street, FAWKNER, VIC, 3060, Australia",-37.7176407,144.9703477
KW 5 Star Kids Services,Family Day Care,4 Shine Walk,EPPING,VIC,3076,412838006,"4 Shine Walk, EPPING, VIC, 3076, Australia",-37.6240205,145.0125835
First Five Early Learning Tarneit,Centre-Based Care,466-468 Sayers Road,TARNEIT,VIC,3029,387375889,"466-468 Sayers Road, TARNEIT, VIC, 3029, Australia",-37.8492544,144.6980477
Melton Early Learning Centre,Centre-Based Care,2 Roslyn Park Drive,MELTON,VIC,3337,387462544,"2 Roslyn Park Drive, MELTON, VIC, 3337, Australia",-37.6643901,144.5716003
Little Stars Childcare & Kindergarten Cranbourne,Centre-Based Care,24-26 Walter St,CRANBOURNE,VIC,3977,96265424,"24-26 Walter St, CRANBOURNE, VIC, 3977, Australia",-38.10267,145.2811884
Little Assets - Melbourne City Early Learning Centre,Centre-Based Care,18/38 Siddeley Street,DOCKLANDS,VIC,3008,03 9620 2887,"18/38 Siddeley Street, DOCKLANDS, VIC, 3008, Australia",-37.8224863,144.9531011
Little Stars Childcare & Kindergarten Melton,Centre-Based Care,8-10 Sherwin Court,MELTON,VIC,3337,1300316316,"8-10 Sherwin Court, MELTON, VIC, 3337, Australia",-37.6824539,144.6063122
Melton City Council Family Day Care,Family Day Care,232 High Street,MELTON,VIC,3337,397477200,"232 High Street, MELTON, VIC, 3337, Australia",-37.6821445,144.5871004
Team Holiday - Moorabbin Primary,Centre-Based Care,Worthing Road,MOORABBIN,VIC,3189,1300035000,"Worthing Road, MOORABBIN, VIC, 3189, Australia",-37.9445629,145.0393187
Chelsea Primary School Outside School Hours Care,Centre-Based Care,Argyle Avenue,CHELSEA,VIC,3196,395814847,"Argyle Avenue, CHELSEA, VIC, 3196, Australia",-38.0552943,145.120526
Penleigh & Essendon Grammar School,Centre-Based Care,59 Raleigh Street,ESSENDON,VIC,3040,390162100,"59 Raleigh Street, ESSENDON, VIC, 3040, Australia",-37.7539905,144.9195165
