Species,Common name(s),Certain,Beach and Dunes,Saltmarsh,Coastal marshlands and brackish flats,Swamp scrub,Woodlands and heathlands on sand,"Woodlands and forests on sedimentary hills, valleys and ridges",Grasslands and Woodlands on fertile plains,Cliffs and escarpments,River banks and creeklines,Wet heathland,Freshwater wetland,Saltwater wetland,Most likely occurrence,EPBC Category of threat,FFG Extinction Risk,FFG Category of Threat
Glossodia major,Wax-lip Orchid,,1.0,0.0,0.0,0.0,1.0,3.1,3.1,2.1,2.1,0.0,0.0,0,3.1,,,
Glycine clandestina,Twining Glycine,,0.0,0.0,0.0,1.0,3.1,3.1,1.0,1.0,3.1,0.0,0.0,0,3.1,,,
Glycine microphylla,Small-leaf Glycine,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,,,
Gnaphalium indutum,Tiny Cudweed,,1.0,0.0,0.0,0.0,1.0,2.1,3.1,0.0,0.0,0.0,0.0,0,3.1,,,
Gonocarpus micranthus subsp. micranthus,Creeping Raspwort,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Goodenia humilis,Swamp Goodenia,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,,
Gratiola pubescens,Brooklime,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1,0,2.1,,,
Hakea decurrens subsp. physocarpa,Bushy Needlewood,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Hakea nodosa,Yellow Hakea,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Haloragis brownii,Swamp Raspwort,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.1,1.0,1.0,0,2.1,,,
Helichrysum leucopsideum,Satin Everlasting,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,,,
Histiopteris incisa,Bat's Wing Fern,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Hyalosperma demissum,Moss Sunray,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,,,
Hydrocotyle callicarpa,"Small Pennywort, Tiny Pennywort",,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Hydrocotyle laxiflora,Stinking Pennywort,1,1.0,0.0,1.0,2.1,3.1,3.1,1.0,1.0,3.1,0.0,0.0,0,3.1,,,
Hypericum japonicum,Matted St. John's Wort,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,,,
Hypoxis hygrometrica var. villosisepala,Golden Weather-grass,,0.0,0.0,0.0,0.0,1.0,2.1,1.0,0.0,1.0,0.0,0.0,0,2.1,,,
Isoetes drummondii var. drummondii,Plain Quillwort,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1,0,2.1,,,
Isolepis fluitans var. fluitans,Floating Club-sedge,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,1.0,0,3.1,,,
Isolepis marginata,"Little Club-sedge, Coarse Club-sedge",1,0.0,0.0,0.0,1.0,3.1,3.1,3.1,1.0,1.0,1.0,0.0,0,3.1,,,
Isolepis producta,Nutty Club-sedge,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,3.1,0,3.1,,,
Isolepis subtilissima,Mountian Club-sedge,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Juncus flavidus,Gold Rush,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1,1.0,3.1,0,3.1,,,
Juncus gregiflorus,Green Rush,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1,0.0,3.1,0,3.1,,,
Juncus homalocaulis,Wiry Rush,,0.0,0.0,0.0,0.0,0.0,1.0,2.1,1.0,1.0,0.0,0.0,0,2.1,,,
Juncus ingens,Giant Rush,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,,
Juncus krausii subsp. australiensis,Sea Rush,1,1.0,3.2,2.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.2,,,
Juncus pallidus,Pale Rush,1,1.0,0.0,2.1,3.1,3.1,3.1,1.0,0.0,3.1,2.1,1.0,0,3.1,,,
Juncus planifolius,Broad-leaf Rush,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,,,
Juncus prismatocarpus subsp. prismatocarpus,Branching Rush,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,,,
Juncus procerus,Tall Rush,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,,,
Juncus remotiflorus,Diffuse Rush,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,,,
Lachnagrostis filiformis,Common Blown-grass,1,2.1,1.0,3.1,3.1,3.1,3.1,3.1,1.0,2.1,2.1,3.1,0,3.1,,,
Lagenophora stipitata,"Common Lagenifera, Blue Bottle-daisy",,0.0,0.0,0.0,2.1,3.1,2.1,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Laphangium luteo-album,Jersey Cudweed,1,3.1,1.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,1.0,1.0,0,3.1,,,
Leiocarpa websteri,Stalked Plover-daisy,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,
Lepidium pseudotasmanicum,Shade Peppercress,,0.0,0.0,0.0,0.0,0.0,2.1,1.0,3.1,0.0,0.0,0.0,0,3.1,,,
Lepidosperma concavum,"Sandhill Sword-sedge, Hill Sword-sedge",,2.2,0.0,1.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0,3.2,,,
Lepidosperma forsythii,Large-flowered Rapier-sedge,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Lepidosperma gunnii,Slender Sword-sedge,,0.0,0.0,0.0,0.0,1.0,2.1,1.0,1.0,0.0,0.0,0.0,0,2.1,,,
Lepidosperma laterale,Variable Sword-sedge,,0.0,0.0,0.0,0.0,1.0,3.1,0.0,2.1,3.1,0.0,0.0,0,3.1,,,
Lepidosperma semiteres,Wire Rapier-sedge,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Leporella fimbriata,Fringed Hare-orchid,,1.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Leptorhynchos elongatus,Lanky Buttons,,0.0,0.0,0.0,0.0,1.0,3.1,1.0,0.0,0.0,0.0,0.0,0,3.1,,Victoria,Endangered
Leptospermum laevigatum,Coast Tea-tree,,2.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Leptospermum lanigerum,Woolly Tea-tree,,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,2.2,1.0,0.0,0,2.2,,,
Leucophyta brownii,Cushion Bush,,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Leucopogon australis,Spike Beard-heath,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Leucopogon ericoides,Pink Beard Heath,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Lilaeopsis polyantha,"Australian Lilaeopsis, Creeping Crantzia",,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,2.1,,,
Limonium australe,"Yellow Sea-lavendar, Native Sea-lavendar",,0.0,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Limosella australis,Austral Mudwort,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1,0,2.1,,,
Lindsaea linearis,Screw Fern,,0.0,0.0,0.0,1.0,3.1,0.0,0.0,0.0,0.0,3.1,0.0,0,3.1,,,
Linum marginale,"Native Flax, Wild Flax",,0.0,0.0,0.0,0.0,0.0,3.1,2.1,1.0,0.0,0.0,0.0,0,3.1,,,
Lobelia anceps,Angled Lobelia,,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0,2.1,,,
Lobelia irrigua,"Fleshy Pratia, Salt Pratia",1,0.0,1.0,3.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,3.1,,,
Lobelia pratioides,Poison Lobelia,,0.0,0.0,3.1,2.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,3.1,,,
Lomandra filiformis subsp. coriacea,Wattle Mat-rush,1,0.0,0.0,0.0,0.0,3.1,3.2,3.1,3.1,3.1,1.0,0.0,0,3.2,,,
Lomandra nana,Dwarf Mat-rush,1,0.0,0.0,0.0,0.0,2.1,2.1,3.1,2.1,1.0,0.0,0.0,0,3.1,,,
Luzula meridionalis var. densiflora,Common Woodrush,,0.0,0.0,0.0,0.0,2.1,3.1,2.1,1.0,2.1,0.0,0.0,0,3.1,,,
Luzula meridionalis var. flaccida,Common Woodrush,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1.0,,,
Luzula meridionalis var. meridionalis,Luzula meridionalis var. meridionalis,1,0.0,0.0,0.0,0.0,2.1,3.1,2.1,1.0,2.1,0.0,0.0,0,3.1,,,
Lythrum salicaria,Purple Loosestrife,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,3.1,0,3.1,,,
Machaerina acuta,Pale Twig-sedge,1,0.0,0.0,1.0,1.0,2.1,0.0,0.0,0.0,0.0,3.1,1.0,0,3.1,,,
Maireana brevifolia,"Small-leaf Bluebush, Short-leaf Bluebush, Cottonbush",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,
Maireana enchylaenoides,"Wingless Fissure-weed, Bluebush",1,0.0,0.0,0.0,0.0,0.0,1.0,2.1,3.1,0.0,0.0,0.0,0,3.1,,,
Marsilea costulifera,Narrow-leaf Nardoo,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0,2.1,,,
Melaleuca ericifolia,Swamp Paperbark,1,0.0,0.0,3.1,3.2,1.0,0.0,0.0,0.0,3.1,3.2,0.0,0,3.2,,,
Melaleuca squarrosa,Scented Paperbark,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.2,0.0,0,2.2,,,
Mentha australis,River Mint,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0,3.1,,,
Microtis parviflora,Slender Onion-orchid,1,0.0,0.0,0.0,1.0,3.1,3.1,1.0,1.0,1.0,2.1,0.0,0,3.1,,,
Mimulus repens,Creeping Monkey-flower,,0.0,2.1,3.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3.1,,,
Monotoca scoparia,Prickly Broom-heath,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Montia australasica,White Purslane,,0.0,0.0,1.0,2.1,0.0,0.0,0.0,0.0,1.0,0.0,3.1,0,3.1,,,
Myriophyllum integrifolium,Tiny Water-milfoil,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,,
Olearia axillaris,Coast Daisy-bush,1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Olearia erubescens,Moth Daisy-bush,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Olearia glutinosa,Sticky Daisy-bush,,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Olearia ramulosa var. stricta,Downy Daisy-bush,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Ophioglossum lusitanicum,Adder's Tongue,,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,1.0,0.0,0.0,0,2.1,,,
Oxalis perennans,"Grassland Wood-sorrel, Scour Grass",1,0.0,0.0,2.1,1.0,2.1,3.1,3.2,2.1,3.1,1.0,0.0,0,3.2,,,
Oxalis radicosa,Stout-rooted Wood-sorrel,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,,,
Oxalis thompsoniae,Fluffy-fruited Wood-sorrel,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,,,
Ozothamnus turbinatus,Coast Everlasting,,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Pandorea pandorana subsp. pandorana,Wonga Vine,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Panicum decompositum var. decompositum,"Australian Millet, Umbrella Grass",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,
Paspalidium constrictum,"Knotty-butt, Box Grass",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,,,
Paspalidium jubiflorum,Warrego Summer-grass,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,,,
Pellaea falcata,Sickle Fern,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,,,
Pentapogon quadrifidus var. quadrifidus,Five-awned Spear-grass,,0.0,0.0,0.0,0.0,2.1,3.1,3.1,1.0,0.0,0.0,0.0,0,3.1,,,
Persicaria lapathifolia,Pale Knotweed,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.1,0.0,3.1,0,3.1,,,
Persicaria praetermissa,Spotted Knotweed,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.1,0.0,3.1,0,3.1,,,
Persicaria subsessilis,Hairy Knotweed,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.1,0.0,3.1,0,3.1,,,
Persoonia juniperina,Prickly Geebung,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Pheladenia deformis,"Blue Fairies, Bluebeard Orchid",,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,,,
Phyllangium divergens,Wiry Mitrewort,,2.1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Phylloglossum drummondi,Pigmy Clubmoss,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Pimelea curviflora var. 1,Curved Rice-flower,1,0.0,0.0,0.0,0.0,1.0,3.1,3.1,3.1,1.0,0.0,0.0,0,3.1,,,
Pimelea glauca,Smooth Rice-flower,1,0.0,0.0,0.0,0.0,0.0,1.0,3.1,3.1,1.0,0.0,0.0,0,3.1,,,
Pimelea octophylla,Woolly Rice-flower,,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,1.0,0.0,0,2.1,,,
Pimelea phylicoides,Heath Rice-flower,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Pimelea spinescens subsp. spinescens,Spiny Rice-flower,,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0,3.1,Critically endangered,Australia,Critically Endangered
Plantago debilis,"Slender Plantain, Shade Plantain",,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Platylobium obtusangulum,Common Flat-pea,1,0.0,0.0,0.0,0.0,3.1,2.1,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Poa labillardierei var. (Volcanic Plains),Common Tussock-grass,,0.0,0.0,1.0,0.0,0.0,1.0,2.1,1.0,1.0,0.0,0.0,0,2.1,,,
Poa labillardierei var. labillardierei (Prickly Blue),Common Tussock-grass,,0.0,0.0,1.0,0.0,0.0,1.0,2.1,1.0,1.0,0.0,0.0,0,2.1,,,
Poa poiformis var. poiformis,"Coast Tussock-grass, Blue Tussock-grass",1,3.1,0.0,3.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.2,,,
Poa rodwayi,Velvet Tussock-grass,,0.0,0.0,0.0,0.0,1.0,2.1,2.1,1.0,1.0,0.0,0.0,0,2.1,,,
Poa tenera,Slender Tussock-grass,,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,1.0,2.1,0.0,0,2.1,,,
Pomaderris paniculosa subsp. paralia,Coast Pomaderris,,3.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Pomaderris racemosa,"Slender Pomaderris, Cluster Pomaderris",,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,,,
Portulaca oleracea,"Common Purslane, Pigweed",1,1.0,0.0,1.0,0.0,0.0,1.0,3.1,2.1,2.1,0.0,0.0,0,3.1,,,
Potamogeton cheesmanii,Small-fruit Pondweed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1,0,3.1,,,
Prasophyllum elatum,Tall Leek-orchid,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Prasophyllum pyriforme,"Graceful Leek-orchid, Silurian Leek-orchid",,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Prasophyllum sp. aff. odoratum M,Lara Leek-orchid,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,
Pterostylis clivosa,No Common Name,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,,Australia,Endangered
Pterostylis melagramma,Tall Greenhood,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,,,
Pterostylis mutica,Midget Greenhood,,0.0,0.0,0.0,0.0,0.0,2.1,2.1,1.0,0.0,0.0,0.0,0,2.1,,,
Pterostylis nana,"Dwarf Greenhood, Snail Greenhood",,1.0,0.0,0.0,0.0,2.1,3.1,1.0,1.0,0.0,0.0,0.0,0,3.1,,,
Pterostylis parviflora,Tiny Greenhood,,0.0,0.0,0.0,0.0,2.1,2.1,0.0,1.0,1.0,0.0,0.0,0,2.1,,,
Pterostylis tasmanica,Southern Bearded Greenhood,,1.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Pterostylis x ingens,"Sharp Greenhood, Large Pointed Greenhood",,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,Victoria,Vulnerable
Ptilotus macrocephalus,"Tall Mulla Mulla, Featherheads",,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0,3.1,,,
Ptilotus spathulatus forma spathulatus,Pussy Tails,1,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0,3.1,,,
Puccinellia stricta,Australian Saltmarsh-grass,1,0.0,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.1,,,
Pultenaea dentata,Clustered Bush-pea,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Pultenaea stricta,Rigid Bush-pea,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Pycnosorus globosus,Drumsticks,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,
Pyrorchis nigricans,Pyrorchis nigricans,,0.0,0.0,0.0,0.0,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Ranunculus inundatus,River Buttercup,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1,0,3.1,,,
Ranunculus pumilio var. pumilio,"Ferny Buttercup, Small-flowered Buttercup",,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Ranunculus robertsonii,Slender Buttercup,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1.0,,,
Rhagodia candolleana subsp. candolleana,Seaberry Saltbush,1,3.1,0.0,3.1,2.1,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0,3.1,,,
Rhytidosporum procumbens,White Marianth,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Rumex dumosus,Wiry Dock,,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0,3.1,,,
Rumex tenax,Narrow-leaf Dock,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1.0,,,
Ruppia polycarpa,"Many-fruit Tassel, Widgeon Grass",,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,3,3.1,,,
Ruppia tuberosa,Tuberous Tassel,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.1,,,
Rytidosperma auriculatum,Lobed Wallaby-grass,1,0.0,0.0,0.0,0.0,0.0,1.0,3.1,1.0,1.0,0.0,0.0,0,3.1,,,
Rytidosperma fulvum,Copper-awned Wallaby-grass,,0.0,0.0,0.0,0.0,1.0,3.1,3.1,3.1,1.0,0.0,0.0,0,3.1,,,
Rytidosperma indutum,"Shiny Wallaby-grass, Yellow-anther Wallaby-grass",,0.0,0.0,0.0,0.0,1.0,2.1,0.0,1.0,1.0,0.0,0.0,0,2.1,,,
Rytidosperma laeve,Smooth Wallaby-grass,,0.0,0.0,1.0,0.0,1.0,2.1,2.1,0.0,1.0,0.0,1.0,0,2.1,,,
Rytidosperma pilosum var. pilosum,Velvet Wallaby-grass,,0.0,0.0,0.0,0.0,2.1,3.1,0.0,0.0,1.0,0.0,0.0,0,3.1,,,
Salicornia quinqueflora subsp. quinqueflora,"Beaded Glasswort, Beaded Samphire",1,2.1,3.2,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.2,,,
Salsola tragus subsp. pontica,Coast Saltwort,1,1.0,1.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,Victoria,Endangered
Samolus repens,Creeping Brookweed,1,1.0,3.1,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.1,,,
Schenkia australis,Spiked Centaury,1,0.0,1.0,3.1,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0,3.1,,,
Schoenus breviculmis,Matted Bog-sedge,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Schoenus brevifolius,"Zig-zag Bog-sedge, Short-leaf Bog-sedge",,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.1,1.0,0,2.1,,,
Schoenus nitens,Shiny Bog-sedge,,0.0,1.0,3.1,2.1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,3.1,,,
Schoenus tesquorum,Bog-sedge,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,,,
Sclerolaena diacantha,"Grey Copperburr, Two-spined Saltbush",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,
Sclerolaena muricata var. muricata,"Black Roly-poly, Five-spined Saltbush",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,
Sebaea albidiflora,White Sebaea,,0.0,3.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Selliera radicans,"Shiny Swamp-mat, Swampweed",,0.0,3.1,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Senecio psilocarpus,"Swamp Fireweed, Smooth-fruited Groundsel",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1.0,Vulnerable,,
Senecio runcinifolius,Tall Fireweed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,,
Senecio squarrosus,Leafy Fireweed,,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,1.0,0,2.1,,,
Sigesbeckia australiensis,Cobber Weed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,,,
Sonchus hydrophilus,Native Sow-thistle,,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,2.1,0.0,2.1,0,2.1,,,
Spergularia brevifolia,Salt Sea-spurrey,,1.0,1.0,2.1,0.0,0.0,0.0,2.1,1.0,0.0,0.0,0.0,0,2.1,,,
Sphaerolobium minus,Eastern Globe-pea,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Spiranthes australis,Austral Ladies Tresses,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.1,0.0,0,2.1,,,
Sprengelia incarnata,Pink Swamp-heath,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0,2.1,,,
Stackhousia subterranea,Plains Stackhousia,,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0,3.1,,,
Stellaria angustifolia,Swamp Starwort,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1,0,2.1,,,
Stellaria pungens,Prickly Starwort,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,,,
Stylidium despectum,Dwarf Triggerplant,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1.0,,,
Stylidium graminifolium,Grass-leaved Triggerplant,,0.0,0.0,0.0,0.0,2.1,3.1,0.0,0.0,1.0,0.0,0.0,0,3.1,,,
Stylidium inundatum,Hundreds and Thousands,1,0.0,0.0,0.0,2.1,3.1,0.0,0.0,0.0,0.0,0.0,1.0,0,3.1,,,
Stylidium perpusillum,"Tiny Triggerplant, Slender Triggerplant",,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Swainsona lessertiifolia,"Coast Swainson-pea, Purple Swainson-pea, Poison Pea",,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Tecticornia arbuscula,Shrubby Glasswort,1,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.2,,,
Tecticornia pergranulata subsp. pergranulata,Blackseed Glasswort,1,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.2,,,
